Name,Location,Salary,Description,desc_len,max_salary,min_salary,avg_salary
Ethnotech Academy,Bengaluru,3 - 7 ,"Responsibilities • Data Science, Machine Learning, Python, Training, Trainer, Tableau, Deep learning, NLP, . Net, Java, Coding • Strong knowledge of Python.…",157,3,7,5.0
IPCS Global solutions pvt ltd,Kottayam,5 - 18 ,Individual or group mentoring to address specific queries and provide guidance on practical projects and assignment. Total work: 1 year (Preferred).…,149,5,18,11.5
Unilever,Bengaluru,7 - 9 ,Experience in formulation would be an added advantage but not necessary. Able to capture data and compile in a systematic way – using ELN- electronic lab……,155,7,9,8.0
Commerce Pundit,Ahmedabad,3 - 7 ,"Experience working with big data and cloud-based data storage solutions. Stay abreast of industry trends, new tools, and emerging technologies in data analysis……",161,3,7,5.0
"Magus Infotech India Pvt. Ltd.,",Mumbai,6 - 10 ,"Python/R for data science. We are looking for bright, young engineers with good mathematics skills and an interest in data analytics/science.…",142,6,10,8.0
Trinity Life Sciences,Bengaluru,1 - 10 ,Should have sound experience in data mining and data analysis. Conduct simple and advanced data analysis to help clients make good business decisions.…,151,1,10,5.5
Transorg Analytics,Gurgaon,7 - 10 ,"Prior experience in organizing datasets, case studies, popular problems in ML is mandatory. Pickl (TransOrg’s education brand) is looking for an operations……",157,7,10,8.5
Meesho,Bengaluru,9 - 10 ,Mentor junior data scientists in the team. Improve our product usability and identify new growth opportunities. Proficiency in machine learning algorithms.…,156,9,10,9.5
Luein Analytics,Remote,7 - 8 ,Develop and implement data science solutions to help the company achieve its goals. The successful candidate will be responsible for developing and implementing……,162,7,8,7.5
UBS,Hyderābād,4 - 10 ,"Ideally 2-3 years’ relevant experience of working in data analysis in financial services, data operations, data platforms.…",123,4,10,7.0
iDataLytics,Eranakulam,1 ,You will work closely with our data science team to support various projects and initiatives aimed at extracting insights and making data-driven decisions.…,156,1,1,1.0
Thoucentric,Bengaluru,8 - 9 ,"As an NLP data scientist, you will be responsible for uncovering critical insights from tons of unstructured web data.…",119,8,9,8.5
Innovaccer,Noida,6 - 10 ,Follow industry best practices and standards while defining and documenting best practices and message specifications.…,119,6,10,8.0
Ducat,Gurgaon,35 - 60 ,Develop and deliver comprehensive training programs in data science and machine learning. Experience :* Minimum 2+ year in Teaching industry.…,142,35,60,47.5
Aliqan Technologies,Bengaluru,70 - 75 ,"Lead a team size of 3-5 data scientists. Comprehensive knowledge of modern data science and product/web analytics tools and techniques, including Python and……",158,70,75,72.5
