Name,Location,Salary,Description
Snapchat,Mumbai,2 - 7 ,"Apply your expertise in quantitative analysis, data mining, and statistical modeling to deliver impactful, objective, and actionable data insights that enable……"
Ethnotech Academy,Bengaluru,3 - 7 ,"Responsibilities • Data Science, Machine Learning, Python, Training, Trainer, Tableau, Deep learning, NLP, . Net, Java, Coding • Strong knowledge of Python.…"
IPCS Global solutions pvt ltd,Kottayam,5 - 18 ,Individual or group mentoring to address specific queries and provide guidance on practical projects and assignment. Total work: 1 year (Preferred).…
Unilever,Bengaluru,7 - 9 ,Experience in formulation would be an added advantage but not necessary. Able to capture data and compile in a systematic way – using ELN- electronic lab……
Commerce Pundit,Ahmedabad,3 - 7 ,"Experience working with big data and cloud-based data storage solutions. Stay abreast of industry trends, new tools, and emerging technologies in data analysis……"
"Magus Infotech India Pvt. Ltd.,",Mumbai,6 - 10 ,"Python/R for data science. We are looking for bright, young engineers with good mathematics skills and an interest in data analytics/science.…"
Trinity Life Sciences,Bengaluru,1 - 10 ,Should have sound experience in data mining and data analysis. Conduct simple and advanced data analysis to help clients make good business decisions.…
Transorg Analytics,Gurgaon,7 - 10 ,"Prior experience in organizing datasets, case studies, popular problems in ML is mandatory. Pickl (TransOrg’s education brand) is looking for an operations……"
Meesho,Bengaluru,9 - 10 ,Mentor junior data scientists in the team. Improve our product usability and identify new growth opportunities. Proficiency in machine learning algorithms.…
Luein Analytics,Remote,7 - 8 ,Develop and implement data science solutions to help the company achieve its goals. The successful candidate will be responsible for developing and implementing……
UBS,Hyderābād,4 - 10 ,"Ideally 2-3 years’ relevant experience of working in data analysis in financial services, data operations, data platforms.…"
iDataLytics,Eranakulam,1 ,You will work closely with our data science team to support various projects and initiatives aimed at extracting insights and making data-driven decisions.…
Thoucentric,Bengaluru,8 - 9 ,"As an NLP data scientist, you will be responsible for uncovering critical insights from tons of unstructured web data.…"
Innovaccer,Noida,6 - 10 ,Follow industry best practices and standards while defining and documenting best practices and message specifications.…
Ducat,Gurgaon,35 - 60 ,Develop and deliver comprehensive training programs in data science and machine learning. Experience :* Minimum 2+ year in Teaching industry.…
Aliqan Technologies,Bengaluru,70 - 75 ,"Lead a team size of 3-5 data scientists. Comprehensive knowledge of modern data science and product/web analytics tools and techniques, including Python and……"
Zehntech,Indore,2 - 5 ,"Technical expertise with data models, data mining, and segmentation techniques. Analyze and organize raw data. Build data systems and pipelines.…"
Airtel India,Gurgaon,200.00 Per hour ,"Design, run and analyze A/B and multivariate hypothesis tests aimed at optimizing customer experience, business KPIs and product funnels.…"
Fractal Analytics,Bengaluru,7 - 10 ,"At least 3-5 years of experience in a Machine Learning or data science role, with a proven track record of developing and deploying models that have driven……"
InitiateFirst.,Bengaluru,5 - 8 ,"Skill Set: Data Science (Python, ML, Cloud). Experience with Python programming language. Experience in machine learning model development.…"
Cencora,Pune,93 - 4 ,"Works with other team members to include accurate and relevant data for machine learning models, including identification of potential proxy data sources, and……"
Sidel,Pune,5 - 10 ,"Part of advanced data analytics team, he/she must work in collaboration with experts and will support with insights gained from analyzing data.…"
Maruti Suzuki India Ltd,New Delhi,4 ,Ability to create and gain buy-in for novel ideas with the main motive to produce a working model that can help business make effective data driven decisions.…
HUBWORK,India,20 - 30 ,A Natural Language Processing (NLP) expert with strong computer science fundamentals and experience in working with deep learning frameworks.…
Indium Software,Chennai,1 - 8 ,"Should be an individual contributor for an initial few months based on project movement team will be aligned. Analytics with predominant experience in SQL, SAS,……"
Hub Work,Pune,20 - 35 ,Any graduation with at least 2 years of demonstrated experience as a Data Scientist. A Natural Language Processing (NLP) expert with strong computer science……
Citi,Bengaluru,4 - 5 ,The North America Consumer Bank – Data Science and Modeling team analyzes millions of prospects and billions of customer level transactions using big data tools……
Neosoft Technologies Pvt.Ltd,Mumbai,4 - 6 ,Data Science / Data Engineering / ETL Developer (2-8 Years). AI / ML Developer (2-8 Years). Tech Lead - Data Science (5-10 Years).…
Microsoft,Hyderābād,2 - 9 ,Transforms formulated problems into implementation plans to develop risk models to predict customer churn by designing and applying appropriate decision-making……
Nuware Systems,Bengaluru,6 - 10 ,"Data Scientist with Machine Learning, Python & R Programming Experience. Good Attitude and Communication skills, SQL, Excel Macros.…"
